igemid,unid,start,length
BBa_C0073,P03049,1,249
BBa_C0074,P06555,1,384
BBa_C0078,P33883,1,603
BBa_C0079,P25084,1,717
BBa_C0080,P0A9E0,1,876
BBa_C0081,P03034,1,711
BBa_C0082,P0AEJ5,655,798
BBa_C0082,P0AEJ5,772,681
BBa_C0082,P07017,1,765
BBa_C0083,P0AC40,46,1434
BBa_C0160,Q9L8R8,1,750
BBa_C0161,P12747,1,579
BBa_C0170,P54291,1,603
BBa_C0178,P33883,1,603
BBa_C0260,Q9L8R8,19,750
BBa_C0261,P12747,19,579
BBa_C0361,P12747,1,579
BBa_C0378,P33883,1,603
BBa_C0430,P08722,19,1875
BBa_C0460,P42212,286,714
BBa_C0470,P42212,286,714
BBa_C0480,P42212,349,714
BBa_C0500,P42212,349,714
BBa_C0510,P42212,1562,714
BBa_C2000,O73694,4,114
BBa_C2000,O73691,7,84
BBa_C2000,Q29W20,91,60
BBa_C2000,O73692,4,201
BBa_C2000,Q9WUF2,7,84
BBa_C2000,P18146,4,192
BBa_C2001,O73694,4,114
BBa_C2001,O73692,4,87
BBa_C2001,Q29W20,91,60
BBa_C2001,O73692,4,201
BBa_C2001,Q9WUF2,4,87
BBa_C2001,P18146,4,192
BBa_C2002,O73694,4,114
BBa_C2002,O73692,4,201
BBa_C2002,A4II20,4,192
BBa_C2003,O73694,4,114
BBa_C2003,P08154,4,159
BBa_C2004,O73694,4,114
BBa_C2004,P08154,4,159
BBa_C2005,O73694,4,114
BBa_C2005,O73692,4,201
BBa_C2005,P18146,4,192
BBa_C2008,P0AEX9,4,1098
BBa_C2009,P0AEX9,4,1098
BBa_C2009,O73694,1165,114
BBa_C2009,Q29W20,1174,78
BBa_C2009,Q29W20,1252,60
BBa_C2009,Q9WUF2,1165,87
BBa_C20091,P0AEX9,4,1098
BBa_C20091,O73694,1191,90
BBa_C20101,P0AEX9,4,1101
BBa_C20101,P0AEX9,4,1098
BBa_C2031,Q0VBZ5,4,117
BBa_C2032,P17535,4,120
BBa_C2034,O73691,4,147
BBa_C2034,O73691,7,84
BBa_C2034,Q29W20,91,60
BBa_C2034,Q9WUF2,7,84
BBa_C2034,P18146,4,147
BBa_C2041,Q0VBZ5,151,138
BBa_C2041,Q0VBZ5,163,126
BBa_C2043,O73694,4,114
BBa_C2043,O73691,7,84
BBa_C2043,O73693,4,156
BBa_C2043,Q9WUF2,7,84
BBa_C2043,Q6GQH4,4,156
BBa_C2044,O73694,4,114
BBa_C2044,O73691,7,84
BBa_C2044,Q0VBZ5,157,126
BBa_C2044,Q9WUF2,7,84
BBa_C2045,O73694,4,114
BBa_C2045,O73691,7,84
BBa_C2045,Q9WUF2,7,84
BBa_C2045,Q9WUF2,4,195
BBa_E0021,P42212,23,714
BBa_E0022,P42212,4,714
BBa_E0029,A7ZWZ1,1,180
BBa_E0031,P42212,23,714
BBa_E0032,P42212,4,714
BBa_E0033,B7UJI9,199,150
BBa_E0033,Q8FKG6,199,150
BBa_E0033,Q3Z583,199,150
BBa_E0033,Q8VNN2,184,165
BBa_E0035,Q3Z583,199,150
BBa_E0035,Q8FKG6,199,150
BBa_E0035,Q8VNN2,184,165
BBa_E0038,A7ZWZ1,1,180
BBa_E0040,P42212,1,714
BBa_E0041,P42212,9,714
BBa_E0042,Q9U6Y8,42,645
BBa_E0043,P42212,1,714
BBa_E0050,A7ZWZ1,715,180
BBa_E0050,P42212,1,714
BBa_E0051,A7ZWZ1,1,180
BBa_E0051,P42212,241,708
BBa_E0224,P42212,22,714
BBa_E0226,P42212,22,714
BBa_E0234,P42212,22,714
BBa_E0236,P42212,22,714
BBa_E041010,Q9U6Y8,19,663
BBa_E0420,P42212,22,714
BBa_E0422,P42212,22,714
BBa_E0424,P42212,22,714
BBa_E0426,P42212,22,714
BBa_E0430,P42212,22,714
BBa_E0432,P42212,22,714
BBa_E0433,B7UJI9,217,153
BBa_E0433,Q3Z583,217,150
BBa_E0433,Q8VNN2,202,165
BBa_E0434,P42212,22,714
BBa_E0435,Q8FKG6,217,150
BBa_E0435,Q3Z583,217,150
BBa_E0435,Q8VNN2,202,165
BBa_E0436,P42212,22,714
BBa_E0438,P42212,22,714
BBa_E0600,P0A9E0,4,876
BBa_E0600,P03023,1246,1080
BBa_E0600,P42212,2619,714
BBa_E0601,P0A9E0,4,876
BBa_E0601,P04483,1237,621
BBa_E0601,P42212,2150,714
BBa_E0601,P04483,1240,615
BBa_E0602,P0A9E0,4,876
BBa_E0602,P03034,1237,711
BBa_E0602,P42212,2235,714
BBa_E0602,P03034,1240,708
BBa_E0603,P0A9E0,4,876
BBa_E0603,P03034,1237,711
BBa_E0603,P42212,2283,714
BBa_E0603,P03034,1240,708
BBa_E0604,P0A9E0,4,876
BBa_E0604,P16117,1237,285
BBa_E0604,P42212,2151,714
BBa_E0605,P0A9E0,4,876
BBa_E0605,P69202,1237,648
BBa_E0605,P42212,2177,714
BBa_E0610,P0A9E0,4,876
BBa_E0610,P03023,1246,1080
BBa_E0610,P42212,2619,714
BBa_E0611,P0A9E0,4,876
BBa_E0611,P04483,1237,621
BBa_E0611,P42212,2150,714
BBa_E0611,P04483,1240,615
BBa_E0612,P0A9E0,4,876
BBa_E0612,P03034,1237,711
BBa_E0612,P42212,2235,714
BBa_E0612,P03034,1240,708
BBa_E0613,P0A9E0,4,876
BBa_E0613,P03034,1237,711
BBa_E0613,P42212,2283,714
BBa_E0613,P03034,1240,708
BBa_E0614,P0A9E0,4,876
BBa_E0614,P16117,1237,285
BBa_E0614,P42212,2151,714
BBa_E0615,P0A9E0,4,876
BBa_E0615,P69202,1237,648
BBa_E0615,P42212,2177,714
BBa_E0666,P42212,1033,714
BBa_E0666,Q9U6Y8,1973,663
BBa_E0669,P42212,79,714
BBa_E0669,P42212,1028,714
BBa_E0669,Q9U6Y8,1973,663
BBa_E1010,Q9U6Y8,1,663
BBa_E2020,P42212,19,714
BBa_E2030,P42212,19,714
BBa_E2050,Q9U6Y8,49,645
BBa_E2060,Q9U6Y8,49,645
BBa_E2215,P42212,4,714
BBa_E3030,P42212,19,714
BBa_E71214,P42212,47,714
BBa_F1610,P12747,19,579
BBa_F1611,P12747,19,579
BBa_F1700,P54291,19,603
BBa_F1780,P33883,19,603
BBa_F2620,P12746,81,750
BBa_F2621,P12746,178,750
BBa_F2622,P12746,82,750
BBa_F2710,P54292,81,723
BBa_F2790,P25084,81,717
BBa_G100102,Q9FYZ9,37,1074
BBa_I0040,Q8FKG6,279,150
BBa_I0040,Q3Z583,279,150
BBa_I0040,Q8VNN2,264,165
BBa_I0401,P12746,81,750
BBa_I0401,P42212,891,714
BBa_I0402,P12747,81,579
BBa_I0402,P42212,753,714
BBa_I0403,P0A9E0,4,876
BBa_I0403,Q9L8R8,1237,750
BBa_I0403,P42212,2080,714
BBa_I0404,P54292,81,687
BBa_I0404,P42212,897,714
BBa_I0404,P54292,81,723
BBa_I0405,P54291,81,603
BBa_I0405,P42212,777,714
BBa_I0406,P25084,81,717
BBa_I0406,P42212,891,714
BBa_I0407,P33883,81,603
BBa_I0407,P42212,777,714
BBa_I0408,P42212,897,714
BBa_I0409,P42212,837,714
BBa_I0410,P42212,86,714
BBa_I0412,P42212,84,714
BBa_I0415,P42212,87,714
BBa_I0417,P42212,85,714
BBa_I0424,P54292,81,687
BBa_I0424,P42212,1844,714
BBa_I0424,P54292,81,723
BBa_I0426,P25084,81,717
BBa_I0426,P42212,1942,714
BBa_I0428,P42212,2016,714
BBa_I0429,P42212,2002,714
BBa_I0460,Q9L8R8,19,750
BBa_I0462,P12746,19,750
BBa_I0464,P25084,19,717
BBa_I0466,P54292,19,687
BBa_I0466,P54292,19,723
BBa_I1000,P62554,32,303
BBa_I1000,P62552,339,159
BBa_I10000,P12747,85,579
BBa_I10003,P04483,19,621
BBa_I10003,P04483,22,615
BBa_I10006,P07364,22,858
BBa_I10009,P16117,19,285
BBa_I10013,P04483,19,621
BBa_I10013,P04483,22,615
BBa_I10017,P62554,40,303
BBa_I10042,P62554,19,303
BBa_I10043,P25445,347,195
BBa_I10043,P25445,538,567
BBa_I10074,P0AE69,22,387
BBa_I10087,Q55367,1,447
BBa_I1010,P03034,88,708
BBa_I10100,P08191,19,900
BBa_I1020,P03034,89,708
BBa_I10200,P16117,19,285
BBa_I1030,P03034,91,711
BBa_I10320,P0AE69,22,387
BBa_I10337,B7UJI9,279,153
BBa_I10337,Q3Z583,279,150
BBa_I10337,Q8VNN2,264,165
BBa_I1040,P03034,92,711
BBa_I10499,P12746,20,750
BBa_I10500,P0AE69,22,387
BBa_I10501,P41180,1,3234
BBa_I10501,P41180,1846,756
BBa_I1060,P03034,89,708
BBa_I1070,P42212,4,714
BBa_I1100,P0A9E0,4,876
BBa_I1100,P0A9E0,7410,876
BBa_I1100,P62580,8576,657
BBa_I11002,P03034,19,711
BBa_I11002,P03034,22,708
BBa_I1101,P0A9E0,4,876
BBa_I1101,P0A9E0,2078,876
BBa_I1101,P62580,3028,657
BBa_I1101,P42212,3694,714
BBa_I11020,P03700,1,1068
BBa_I11021,P03699,1,216
BBa_I11021,P03699,1,210
BBa_I11024,P03700,18,1068
BBa_I11030,P04890,1,1161
BBa_I11031,P04889,1,348
BBa_I11040,P16407,1,1071
BBa_I11041,P68927,1,216
BBa_I11050,P27077,1,1140
BBa_I11051,P27079,1,234
BBa_I11060,P03699,1604,216
BBa_I11060,P03700,24,1068
BBa_I11061,P04890,24,1161
BBa_I11061,P04890,1893,117
BBa_I11061,P04889,1666,348
BBa_I11062,P16407,24,1071
BBa_I11062,P68927,1757,216
BBa_I11063,P27077,24,1140
BBa_I11063,P27079,1668,234
BBa_I11064,P03700,38,1068
BBa_I11064,P03699,1712,216
BBa_I11064,P03699,1712,210
BBa_I11066,P27077,38,1140
BBa_I11066,P27079,1777,234
BBa_I11111,P03700,18,1068
BBa_I12000,P03034,246,711
BBa_I12000,P03034,249,708
BBa_I12002,P16117,246,285
BBa_I12008,P03034,242,711
BBa_I12008,P03034,245,708
BBa_I12011,P69202,246,648
BBa_I12012,P42212,79,714
BBa_I12013,P42212,249,714
BBa_I12014,P16117,1,285
BBa_I12016,P03034,19,711
BBa_I12016,P03034,22,708
BBa_I12017,P16117,19,285
BBa_I12018,P03034,246,711
BBa_I12018,P16117,1274,285
BBa_I12018,P03034,249,708
BBa_I12019,P03034,1460,711
BBa_I12019,P42212,2491,714
BBa_I12019,P03023,90,1080
BBa_I12019,P03034,1463,708
BBa_I12020,P03034,3289,711
BBa_I12020,P42212,4320,714
BBa_I12020,P03023,90,1080
BBa_I12020,P03034,3292,708
BBa_I12020,P04483,2382,615
BBa_I12020,P16117,1460,285
BBa_I12021,P03034,1460,711
BBa_I12021,P03034,1463,708
BBa_I12021,P03023,90,1080
BBa_I12022,P16117,1460,285
BBa_I12022,P03023,90,1080
BBa_I12023,P03034,991,711
BBa_I12023,P04483,84,615
BBa_I12023,P03034,994,708
BBa_I12024,P03034,82,711
BBa_I12024,P03034,85,708
BBa_I12025,P03034,82,711
BBa_I12025,P42212,1113,714
BBa_I12025,P03034,85,708
BBa_I12026,P42212,85,714
BBa_I12027,P0A9E0,4,876
BBa_I12027,P16117,1237,285
BBa_I12028,P0A9E0,1005,876
BBa_I12028,P16117,2238,285
BBa_I12028,P42212,3188,714
BBa_I12028,P03034,85,708
BBa_I12029,P0A9E0,4,876
BBa_I12029,P42212,1240,714
BBa_I12031,P03034,246,711
BBa_I12031,P03034,249,708
BBa_I12033,P69202,1,648
BBa_I12037,P42212,258,714
BBa_I12038,P03034,81,711
BBa_I12038,P03034,84,708
BBa_I12039,P0A9E0,1005,876
BBa_I12039,P16117,2238,285
BBa_I12039,P42212,3197,714
BBa_I12039,P03034,85,708
BBa_I12042,P03034,81,711
BBa_I12042,P03034,1246,711
BBa_I12042,P16117,3356,285
BBa_I12042,P03034,1249,708
BBa_I12042,P03034,84,708
BBa_I12042,P42212,2070,714
BBa_I12043,P03034,246,711
BBa_I12043,P42212,1070,714
BBa_I12043,P03034,249,708
BBa_I12044,P03034,255,711
BBa_I12044,P42212,1079,714
BBa_I12044,P03034,258,708
BBa_I12045,P03034,81,711
BBa_I12045,P03034,1255,711
BBa_I12045,P16117,3365,285
BBa_I12045,P03034,84,708
BBa_I12045,P42212,2079,714
BBa_I12045,P03034,1258,708
BBa_I12046,P03034,255,711
BBa_I12046,P42212,1079,714
BBa_I12046,P03034,258,708
BBa_I12047,P03034,81,711
BBa_I12047,P03034,1255,711
BBa_I12047,P16117,3365,285
BBa_I12047,P03034,1258,708
BBa_I12047,P03034,84,708
BBa_I12047,P42212,2079,714
BBa_I12050,P0A9E0,4,876
BBa_I12050,P16117,1237,285
BBa_I12051,P0A9E0,1005,876
BBa_I12051,P16117,2238,285
BBa_I12051,P42212,3130,714
BBa_I12051,P03034,85,708
BBa_I12052,P0A9E0,1005,876
BBa_I12052,P16117,2238,285
BBa_I12052,P42212,3139,714
BBa_I12052,P03034,85,708
BBa_I12053,P0A9E0,1005,876
BBa_I12053,P16117,2238,285
BBa_I12053,P42212,3139,714
BBa_I12053,P03034,85,708
BBa_I12054,P16117,109,285
BBa_I12055,P03034,109,711
BBa_I12055,P03034,112,708
BBa_I12056,P03034,118,711
BBa_I12056,P03034,121,708
BBa_I12057,P03034,118,711
BBa_I12057,P03034,121,708
BBa_I12058,P03034,82,711
BBa_I12058,P03034,1999,711
BBa_I12058,P42212,3030,714
BBa_I12058,P16117,1110,285
BBa_I12058,P03034,85,708
BBa_I12058,P03034,2002,708
BBa_I12059,P03034,82,711
BBa_I12059,P03034,2008,711
BBa_I12059,P42212,3048,714
BBa_I12059,P16117,1110,285
BBa_I12059,P03034,85,708
BBa_I12059,P03034,2011,708
BBa_I12060,P03034,82,711
BBa_I12060,P03034,2008,711
BBa_I12060,P42212,3048,714
BBa_I12060,P03034,85,708
BBa_I12060,P03034,2011,708
BBa_I12060,P16117,1110,285
BBa_I12200,P03034,1,711
BBa_I12200,P04386,712,120
BBa_I12201,Q3YWW4,1,744
BBa_I12201,Q3YWW4,1,705
BBa_I12201,P19659,820,195
BBa_I12202,P04483,1,621
BBa_I12203,P04483,1,621
BBa_I12205,P0A9E0,1,876
BBa_I12220,P03034,20,711
BBa_I12220,P04386,731,120
BBa_I12221,Q3YWW4,20,744
BBa_I12221,Q3YWW4,20,705
BBa_I12221,P19659,839,195
BBa_I12222,P04483,20,621
BBa_I12223,P04483,19,621
BBa_I12225,P0A9E0,20,876
BBa_I12226,P03034,20,711
BBa_I12226,P04483,987,621
BBa_I12226,P04386,731,120
BBa_I12227,P03034,19,711
BBa_I12227,P04386,730,120
BBa_I12227,P04483,985,621
BBa_I12230,P03023,82,1080
BBa_I12230,Q3YWW4,3386,744
BBa_I12230,P42212,4675,714
BBa_I12230,P04483,1419,621
BBa_I12230,P19659,4205,195
BBa_I12230,Q3YWW4,3386,705
BBa_I12230,P04386,3009,120
BBa_I12230,P03034,2298,711
BBa_I12232,P03023,82,1080
BBa_I12232,P0A9E0,1419,876
BBa_I12232,P04483,2553,621
BBa_I12232,P04483,3525,621
BBa_I12232,P42212,4412,714
BBa_I12233,P03023,82,1080
BBa_I12233,P0A9E0,3498,876
BBa_I12233,P04483,4731,621
BBa_I12233,P42212,5618,714
BBa_I12233,P0A9E0,1419,876
BBa_I12233,P04483,2698,621
BBa_I12240,P03023,82,1080
BBa_I12240,P42212,1422,714
BBa_I12241,P04483,82,621
BBa_I12241,P42212,962,714
BBa_I12242,P42212,179,714
BBa_I12243,P0A9E0,82,876
BBa_I12243,P42212,1312,714
BBa_I12244,P0A9E0,1137,876
BBa_I12244,P42212,2373,714
BBa_I12244,P0A9E0,82,876
BBa_I13002,P42212,24,714
BBa_I13008,P42212,87,714
BBa_I13012,P42212,86,714
BBa_I13015,P0A9E0,4,876
BBa_I13015,P12747,1237,579
BBa_I13016,P0A9E0,4,876
BBa_I13016,P04483,1237,621
BBa_I13016,P04483,1240,615
BBa_I13017,P04483,227,621
BBa_I13017,P04483,230,615
BBa_I13018,P12746,81,750
BBa_I13019,P03034,19,711
BBa_I13019,P42212,1017,714
BBa_I13019,P03034,22,708
BBa_I13020,P69202,19,648
BBa_I13020,P42212,959,714
BBa_I13021,P03023,28,1080
BBa_I13021,P42212,1401,714
BBa_I13022,P04483,19,621
BBa_I13022,P42212,932,714
BBa_I13022,P04483,22,615
BBa_I13023,P04483,21,621
BBa_I13023,P42212,934,714
BBa_I13023,P04483,24,615
BBa_I13024,P03023,30,1080
BBa_I13024,P42212,1403,714
BBa_I13025,P03049,19,249
BBa_I13026,P03049,19,249
BBa_I13027,P06555,19,384
BBa_I13035,P12746,81,750
BBa_I13035,P04483,2182,621
BBa_I13035,P04483,2185,615
BBa_I13035,P42212,1091,714
BBa_I13036,P0A9E0,1959,876
BBa_I13036,P04483,3192,621
BBa_I13036,P04483,3195,615
BBa_I13036,P12746,81,750
BBa_I13037,P0A9E0,4,876
BBa_I13037,P12746,2105,750
BBa_I13037,P04483,4206,621
BBa_I13037,P04483,4209,615
BBa_I13037,P12747,1237,579
BBa_I13037,P42212,3115,714
BBa_I13038,P0A9E0,3983,876
BBa_I13038,P04483,5216,621
BBa_I13038,P04483,5219,615
BBa_I13038,P12747,1237,579
BBa_I13038,P12746,2105,750
BBa_I13072,P03049,19,249
BBa_I13100,P03034,76,711
BBa_I13100,P42212,1074,714
BBa_I13100,P03034,79,708
BBa_I13101,P69202,81,648
BBa_I13101,P42212,1021,714
BBa_I13102,P03023,91,1080
BBa_I13102,P42212,1464,714
BBa_I13103,P03034,82,711
BBa_I13103,P42212,1080,714
BBa_I13103,P03034,85,708
BBa_I13104,P69202,82,648
BBa_I13104,P42212,1022,714
BBa_I13105,P04483,84,621
BBa_I13105,P42212,997,714
BBa_I13105,P04483,87,615
BBa_I13106,P04483,82,621
BBa_I13106,P42212,995,714
BBa_I13106,P04483,85,615
BBa_I13107,P03023,90,1080
BBa_I13107,P42212,1463,714
BBa_I13108,P03034,81,711
BBa_I13108,P42212,1079,714
BBa_I13108,P03034,84,708
BBa_I13109,P69202,81,648
BBa_I13109,P42212,1021,714
BBa_I13110,P04483,81,621
BBa_I13110,P42212,994,714
BBa_I13110,P04483,84,615
BBa_I13111,P03023,92,1080
BBa_I13111,P42212,1465,714
BBa_I13112,P03034,156,711
BBa_I13112,P42212,1154,714
BBa_I13112,P03034,159,708
BBa_I13113,P69202,156,648
BBa_I13113,P42212,1096,714
BBa_I13114,P03023,165,1080
BBa_I13114,P42212,1538,714
BBa_I13115,P04483,156,621
BBa_I13115,P42212,1069,714
BBa_I13115,P04483,159,615
BBa_I13202,P12747,82,579
BBa_I13203,P0A9E0,4,876
BBa_I13203,Q9L8R8,1237,750
BBa_I13204,P0A9E0,4,876
BBa_I13204,Q9L8R8,1237,750
BBa_I13205,P0A9E0,2056,876
BBa_I13205,Q9L8R8,3289,750
BBa_I13205,P12746,178,750
BBa_I13206,Q9L8R8,81,750
BBa_I13207,P0A9E0,1959,876
BBa_I13207,Q9L8R8,3192,750
BBa_I13207,P12746,81,750
BBa_I13208,Q9L8R8,82,750
BBa_I13209,Q9L8R8,967,750
BBa_I13210,P12746,2333,750
BBa_I13210,P12747,3379,579
BBa_I13210,Q9L8R8,252,750
BBa_I13211,P12746,178,750
BBa_I13211,P12747,1185,579
BBa_I13212,P12746,178,750
BBa_I13213,P12746,1047,750
BBa_I13213,P12747,82,579
BBa_I13261,P12746,1127,750
BBa_I13262,P12746,19,750
BBa_I13263,P12746,178,750
BBa_I13263,P42212,1188,714
BBa_I13264,P12746,178,750
BBa_I13264,P12747,1185,579
BBa_I13264,P42212,1857,714
BBa_I13265,P12746,178,750
BBa_I13265,P12747,1185,579
BBa_I13265,P42212,1799,714
BBa_I13266,P12746,178,750
BBa_I13266,P12747,1185,579
BBa_I13267,P12746,178,750
BBa_I13267,P12747,1185,579
BBa_I13271,P54292,19,687
BBa_I13271,P54292,19,723
BBa_I13272,P12746,178,750
BBa_I13272,P42212,1188,714
BBa_I13273,P12746,81,750
BBa_I13273,P42212,1091,714
BBa_I13274,P12746,82,750
BBa_I13274,P42212,1092,714
BBa_I13279,P25084,19,717
BBa_I13280,P12746,81,750
BBa_I13283,P12746,81,750
BBa_I13283,P42212,1091,714
BBa_I13303,P54292,82,687
BBa_I13303,P54292,82,723
BBa_I13304,P54292,81,723
BBa_I13305,P25084,82,717
BBa_I13306,P25084,81,717
BBa_I13309,P54292,82,687
BBa_I13309,P42212,1096,714
BBa_I13309,P54292,82,723
BBa_I13310,P54292,81,723
BBa_I13310,P42212,1037,714
BBa_I13311,P25084,82,717
BBa_I13311,P42212,1136,714
BBa_I13312,P25084,81,717
BBa_I13312,P42212,1135,714
BBa_I13313,P42212,1268,714
BBa_I13314,P42212,1267,714
BBa_I13402,P0A9E0,869,876
BBa_I13402,P42212,2105,714
BBa_I13403,P0A9E0,872,876
BBa_I13403,P42212,2108,714
BBa_I13404,P0A9E0,887,876
BBa_I13404,P42212,2123,714
BBa_I13405,P0A9E0,890,876
BBa_I13405,P42212,2126,714
BBa_I13407,P0A9E0,2124,876
BBa_I13407,P42212,3360,714
BBa_I13408,P0A9E0,2121,876
BBa_I13408,P42212,3357,714
BBa_I13434,P0A9E0,4,876
BBa_I13434,P42212,1237,714
BBa_I13434,Q9U6Y8,2102,663
BBa_I13500,P42212,19,714
BBa_I13501,Q9U6Y8,1,663
BBa_I13502,Q9U6Y8,19,663
BBa_I13503,Q9U6Y8,20,663
BBa_I13504,P42212,19,714
BBa_I13506,P0A9E0,4,876
BBa_I13506,P42212,1237,714
BBa_I13507,Q9U6Y8,19,663
BBa_I13508,P0A9E0,4,876
BBa_I13508,Q9U6Y8,1237,663
BBa_I13509,P0A9E0,4,876
BBa_I13509,Q9U6Y8,1238,663
BBa_I13510,P42212,79,714
BBa_I13512,P0A9E0,4,876
BBa_I13512,P42212,2031,714
BBa_I13512,Q9U6Y8,1238,663
BBa_I13513,P0A9E0,4,876
BBa_I13513,P42212,2029,714
BBa_I13513,Q9U6Y8,1237,663
BBa_I13514,P0A9E0,4,876
BBa_I13514,P42212,1237,714
BBa_I13514,Q9U6Y8,1983,663
BBa_I13515,P0A9E0,4,876
BBa_I13515,P42212,1969,714
BBa_I13515,Q9U6Y8,1237,663
BBa_I13516,P0A9E0,4,876
BBa_I13516,Q9U6Y8,1237,663
BBa_I13517,P0A9E0,4,876
BBa_I13517,Q9U6Y8,1238,663
BBa_I13518,P42212,79,714
BBa_I13520,P0A9E0,4,876
BBa_I13520,Q9U6Y8,1237,663
BBa_I13521,Q9U6Y8,81,663
BBa_I13522,P42212,81,714
BBa_I13523,P42212,105,714
BBa_I13524,Q9U6Y8,105,663
BBa_I13525,P42212,82,714
BBa_I13526,Q9U6Y8,82,663
BBa_I13527,P42212,138,714
BBa_I13528,Q9U6Y8,138,663
BBa_I13529,P0A9E0,4,876
BBa_I13529,P42212,2055,714
BBa_I13529,Q9U6Y8,1237,663
BBa_I13530,P0A9E0,4,876
BBa_I13530,P42212,1237,714
BBa_I13530,Q9U6Y8,2069,663
BBa_I13531,P0A9E0,4,876
BBa_I13531,P42212,2032,714
BBa_I13531,Q9U6Y8,1237,663
BBa_I13532,P0A9E0,4,876
BBa_I13532,P42212,1237,714
BBa_I13532,Q9U6Y8,2046,663
BBa_I13533,P0A9E0,4,876
BBa_I13533,P42212,2088,714
BBa_I13533,Q9U6Y8,1237,663
BBa_I13534,P0A9E0,4,876
BBa_I13534,P42212,1237,714
BBa_I13534,Q9U6Y8,2102,663
BBa_I13537,P0A9E0,4,876
BBa_I13537,P42212,2405,714
BBa_I13537,Q9U6Y8,1398,663
BBa_I13538,P0A9E0,4,876
BBa_I13538,P42212,1237,714
BBa_I13538,Q9U6Y8,2377,663
BBa_I13539,P0A9E0,4,876
BBa_I13539,P42212,2363,714
