igemid,unid,bitscore,score,expect,length,qlen,hsplen,plen,int_evalue,pqlen,p_id
BBa_K1189029,P03023,57,136,4.33E-07,28,2782,360,0.08,7,0.030194105,100
BBa_K1189031,P14727,1373,3554,0,891,3574,1164,0.77,180,0.747901511,82.604
BBa_K1199041,P51697,324,830,1.01E-114,156,471,156,1,114,0.993630573,100
BBa_K1199042,D4Z2G1,603,1556,0,296,891,296,1,180,0.996632997,100
BBa_K1199044,Q9GKX2,79.3,194,3.16E-16,249,765,260,0.98,16,0.976470588,24.9
BBa_K1199045,D4Z2G1,605,1561,0,296,1428,296,1,180,0.621848739,100
BBa_K1199045,P51697,323,828,2.53E-109,156,1428,156,1,109,0.327731092,100
BBa_K1218005,P0A9D7,449,1154,3.72E-160,273,822,273,1,160,0.996350365,82.051
BBa_K1218006,B6I848,729,1881,0,356,1071,356,1,180,0.99719888,100
BBa_K1218007,B7MDH5,199,507,2.83E-60,362,996,356,1.09,60,1.090361446,39.503
BBa_K1323009,Q9U6Y8,417,1073,1.76E-149,225,678,225,1,149,0.995575221,95.556
BBa_K1323010,P42212,482,1240,1.53E-174,238,720,238,1,174,0.991666667,97.479
BBa_K1323011,P06572,493,1269,1.08E-178,244,735,244,1,178,0.995918367,100
BBa_K1332001,Q9U6Y8,369,946,8.75E-130,221,735,225,0.98,130,0.902040816,86.878
BBa_K1333004,P69544,181,458,6.55E-60,87,297,87,1,60,0.878787879,100
BBa_K1333005,P69541,136,342,1.17E-42,69,255,73,0.95,42,0.811764706,100
BBa_K1333200,P03034,463,1191,2.72E-166,237,843,237,1,166,0.84341637,100
BBa_K1333200,P04386,81.3,199,6.63E-16,40,843,881,0.14,16,0.142348754,97.5
BBa_K1333201,P03034,463,1192,2.19E-166,237,843,237,1,166,0.84341637,100
BBa_K1333201,P04386,80.5,197,1.14E-15,40,843,881,0.14,15,0.142348754,97.5
BBa_K1350005,P0AEY8,773,1997,0,410,1233,410,1,180,0.99756691,100
BBa_K1351017,O31580,151,381,1.12E-47,91,333,110,0.83,47,0.81981982,100
BBa_K1351021,Q9U6Y8,369,947,2.36E-130,221,675,225,0.98,130,0.982222222,86.878
BBa_K1399000,Q9U6Y8,369,946,6.91E-130,221,714,225,0.98,130,0.928571429,86.878
BBa_K1399001,Q9U6Y8,369,946,6.91E-130,221,714,225,0.98,130,0.928571429,86.878
BBa_K1399002,Q9U6Y8,369,947,4.92E-130,221,714,225,0.98,130,0.928571429,86.878
BBa_K1399003,Q9U6Y8,369,946,6.91E-130,221,714,225,0.98,130,0.928571429,86.878
BBa_K1399004,P42212,489,1260,2.38E-177,238,753,238,1,177,0.948207171,98.739
BBa_K1399005,P42212,489,1260,2.38E-177,238,753,238,1,177,0.948207171,98.739
BBa_K1399006,P42212,489,1260,2.38E-177,238,753,238,1,177,0.948207171,98.739
BBa_K1399007,P42212,489,1260,2.58E-177,238,759,238,1,177,0.940711462,98.739
BBa_K1399008,P42212,489,1260,2.38E-177,238,753,238,1,177,0.948207171,98.739
BBa_K1415001,P09971,69.7,169,4.60E-16,33,109,192,0.91,16,0.908256881,100
BBa_K1415002,O45027,70.5,171,1.25E-16,33,109,155,0.91,16,0.908256881,100
BBa_K1415003,O76818,70.5,171,2.34E-16,33,109,193,0.91,16,0.908256881,100
BBa_K1415004,P43511,70.1,170,1.08E-17,33,109,33,1,17,0.908256881,100
BBa_K1415005,Q95P48,69.7,169,4.24E-16,33,109,191,0.91,16,0.908256881,100
BBa_K1415006,P11159,71.2,173,1.46E-16,33,109,194,0.91,16,0.908256881,100
BBa_K1416000,Q57834,597,1539,0,304,1738,306,0.99,180,0.524741082,98.026
BBa_K143032,P71054,580,1495,0,278,840,278,1,180,0.992857143,99.64
BBa_K1438001,P0ABD3,312,800,5.47E-110,158,477,158,1,110,0.993710692,99.367
BBa_K1456001,P00750,1153,2982,0,562,1726,562,1,180,0.976825029,100
BBa_K1456002,P07203,373,958,2.11E-132,182,649,203,0.9,132,0.841294299,99.451
BBa_K1456006,P00974,167,422,5.41E-54,100,340,100,1,54,0.882352941,97
BBa_K1486056,P0A9E0,584,1505,0,292,3742,292,1,180,0.234099412,100
BBa_K1486056,P0AE90,404,1039,1.96E-131,232,3742,232,1,131,0.185996793,100
BBa_K1486056,Q9RZA4,323,827,2.88E-94,191,3742,755,0.25,94,0.15312667,93.194
BBa_K1497008,Q7UCD5,101,251,1.28E-29,51,156,51,1,29,0.980769231,100
BBa_K1497009,Q7XZQ7,760,1963,0,368,1107,368,1,180,0.997289973,98.913
BBa_K1497010,P51104,720,1858,0,348,1062,360,0.98,180,0.983050847,98.563
BBa_K1497031,Q61234,189,481,2.42E-55,95,891,503,0.32,55,0.31986532,100
BBa_K1497031,O08816,174,442,1.19E-49,79,891,501,0.27,49,0.265993266,100
BBa_K1497032,Q28626,189,480,3.11E-55,95,891,505,0.32,55,0.31986532,100
BBa_K1497032,O08816,174,442,1.19E-49,79,891,501,0.27,49,0.265993266,100
BBa_K1499200,Q9RTE6,578,1490,0,305,918,305,1,180,0.996732026,100
BBa_K1537025,Q9S7E4,701,1808,0,354,1065,384,1,180,0.997183099,100
BBa_K1537026,O06012,479,1234,4.33E-169,378,1131,378,1,169,1.00265252,61.111
BBa_K1554001,Q6US81,488,1255,1.02E-173,317,981,338,0.97,173,0.96941896,66.877
BBa_K1554002,A1ZAI5,353,905,1.18E-114,450,1365,625,0.99,114,0.989010989,40.667
BBa_K174010,P16497,1211,3133,0,606,1818,606,1,180,1,99.835
BBa_K190028,P0AER0,523,1348,0,281,846,281,1,180,0.996453901,100
BBa_K200000,P69410,433,1113,8.09E-156,216,654,216,1,156,0.990825688,100
BBa_K2019000,J7RUA5,1984,5139,0,1053,3183,1053,1,180,0.992459943,100
BBa_K283048,P04483,426,1096,2.81E-153,207,685,207,1,153,0.906569343,100
BBa_K299806,B7MK73,432,1110,6.96E-155,231,696,231,1,155,0.995689655,99.134
BBa_K314011,Q51693,1004,2596,0,500,1545,528,0.97,180,0.970873786,100
BBa_K314012,Q51693,607,1565,0,308,1494,528,0.62,180,0.618473896,99.351
BBa_K314015,Q51693,607,1565,0,308,1494,528,0.62,180,0.618473896,99.351
BBa_K316003,P06622,639,1649,0,307,1061,307,1,180,0.86804901,100
BBa_K322237,P08659,1079,2790,0,539,1653,550,0.98,180,0.978221416,99.629
BBa_K349008,P00551,565,1455,0,271,989,271,1,180,0.822042467,99.631
BBa_K349009,P00551,565,1455,0,271,991,271,1,180,0.820383451,99.631
BBa_K349010,P00551,565,1455,0,271,991,271,1,180,0.820383451,99.631
BBa_K398005,Q56318,214,546,1.81E-68,256,750,256,1.02,68,1.024,48.438
BBa_K411208,Q9U6Y8,369,946,6.91E-130,221,714,225,0.98,130,0.928571429,86.878
BBa_K515007,Q9U6Y3,367,942,7.37E-129,224,681,266,0.99,129,0.986784141,76.339
BBa_K523013,P42212,481,1239,1.40E-165,236,2442,238,0.99,165,0.28992629,97.458
BBa_K523013,O30611,404,1037,4.03E-124,257,2442,1148,0.32,124,0.315724816,90.272
BBa_K523013,A7ZWZ1,158,400,1.63E-38,76,2442,1024,0.09,38,0.093366093,100
BBa_K525303,P35825,197,502,4.45E-51,239,2409,1228,0.3,51,0.297633873,57.322
BBa_K525403,P38537,287,735,8.23E-80,190,3201,1176,0.18,80,0.178069353,74.737
BBa_K525515,P33271,186,471,3.51E-52,420,1602,405,1.04,52,0.786516854,31.429
BBa_K525710,P15042,1340,3468,0,671,2064,671,1,180,0.975290698,100
BBa_K531001,P35828,162,409,3.53E-46,119,360,1026,0.99,46,0.991666667,100
BBa_K539119,P21687,786,2030,0,382,1152,382,1,180,0.994791667,100
BBa_K542010,O66529,284,726,7.88E-99,154,465,154,1,99,0.993548387,92.857
BBa_K553020,P62594,345,884,4.91E-120,168,633,286,0.8,120,0.796208531,98.214
BBa_K554002,P08715,119,299,2.57E-32,60,186,1024,0.97,32,0.967741935,100
BBa_K554003,P0ACS4,313,803,1.30E-110,154,483,154,1,110,0.956521739,100
BBa_K554009,P02930,920,2378,0,473,1539,493,0.96,180,0.92202729,99.789
BBa_K562003,P37449,465,1196,5.22E-165,233,1236,233,1,165,0.565533981,100
BBa_K562003,P0A1C7,131,329,2.52E-36,94,1236,94,1,36,0.22815534,100
BBa_K562004,P0A1C7,94,232,4.54E-23,88,904,94,0.94,23,0.292035398,82.955
BBa_K562006,P0A1D1,236,603,9.88E-78,116,1047,116,1,78,0.332378223,100
BBa_K562008,P37449,467,1201,9.59E-160,233,2495,233,1,160,0.280160321,100
BBa_K562008,P0A1D1,231,590,5.98E-71,113,2495,116,0.97,71,0.135871743,100
BBa_K562008,P0A1C7,131,329,6.40E-35,94,2495,94,1,35,0.113026052,100
BBa_K581012,P00573,1811,4690,0,882,2997,883,1,180,0.882882883,99.887
BBa_K590001,P45129,146,368,3.36E-36,173,2253,466,0.37,36,0.230359521,44.509
BBa_K590003,Q01465,65.1,157,3.60E-10,318,1439,337,0.94,10,0.662960389,25.472
BBa_K590004,P96610,119,299,1.68E-28,249,2367,290,0.86,28,0.315589354,29.719
BBa_K590004,P9WPD8,115,287,6.92E-26,402,2367,429,0.94,26,0.509505703,26.617
BBa_K590005,P0C0V0,72,175,6.36E-12,173,1975,474,0.36,12,0.26278481,30.058
BBa_K590007,C0SP78,143,361,7.04E-37,284,2108,297,0.96,37,0.404174573,33.803
BBa_K590008,Q4ZR90,55.5,132,6.71E-07,265,2160,305,0.87,7,0.368055556,28.679
BBa_K590009,C0SP78,115,288,3.42E-28,279,1168,297,0.94,28,0.716609589,27.957
BBa_K590021,Q4WGU1,155,393,1.29E-39,580,1701,580,1.02,39,1.02292769,27.759
BBa_K590022,Q4WGU1,155,393,1.17E-39,580,1701,580,1.02,39,1.02292769,27.759
BBa_K590023,Q4WGU1,155,392,1.55E-39,580,1701,580,1.02,39,1.02292769,27.759
BBa_K590024,Q4WGU1,154,390,3.08E-39,580,1701,580,1.02,39,1.02292769,27.759
BBa_K590034,O07600,628,1620,0,323,1023,325,0.99,180,0.947214076,100
BBa_K592009,Q95P04,452,1164,1.88E-163,221,669,221,1,163,0.99103139,97.285
BBa_K592011,Q9GZ28,311,796,5.38E-107,232,702,232,1,107,0.991452991,62.5
BBa_K592100,Q8ISF8,348,892,1.08E-121,229,705,231,0.99,121,0.974468085,70.742
BBa_K592101,P42212,482,1241,1.24E-174,238,720,238,1,174,0.991666667,97.059
BBa_K594001,P33907,122,306,1.51E-33,177,645,211,0.84,33,0.823255814,37.288
BBa_K602002,Q81QK2,90.5,223,7.11E-24,64,405,67,0.96,24,0.474074074,65.625
BBa_K606046,P16497,1211,3133,0,606,1818,606,1,180,1,99.835
BBa_K613015,P04483,419,1076,1.71E-150,207,621,207,1,150,1,98.551
BBa_K613016,P04483,424,1090,1.30E-152,207,621,207,1,152,1,99.517
BBa_K613017,P04483,425,1092,5.33E-153,207,621,207,1,153,1,99.517
BBa_K613018,P04483,423,1088,2.62E-152,207,621,207,1,152,1,99.034
BBa_K624001,P42212,489,1260,7.37E-173,238,1571,238,1,173,0.454487588,98.739
BBa_K624001,P04483,426,1096,1.68E-148,207,1571,207,1,148,0.395289624,100
BBa_K627006,P69169,305,782,1.89E-102,150,656,424,0.69,102,0.68597561,100
BBa_K629003,P0A9H9,363,933,1.64E-128,197,645,214,0.92,128,0.91627907,100
BBa_K629004,P0A9H9,363,932,2.21E-128,197,642,214,0.92,128,0.920560748,100
BBa_K629005,Q1R4I5,1153,2982,0,622,1869,622,1,180,0.998394864,100
BBa_K648011,P06622,637,1643,0,306,918,307,1,180,1,100
BBa_K729002,P36649,961,2483,0,516,1551,516,1,180,0.998065764,100
BBa_K729004,P00644,353,906,1.30E-124,192,561,231,1.03,124,1.026737968,90.625
BBa_K731000,P0A9D7,564,1453,0,273,839,273,1,180,0.976162098,100
BBa_K731010,P0A9D7,562,1449,0,273,839,273,1,180,0.976162098,99.634
BBa_K731480,P03023,729,1883,0,360,3194,360,1,180,0.338134001,99.722
BBa_K731480,P42212,440,1132,1.10E-146,238,3194,238,1,146,0.223544145,94.538
BBa_K731480,Q08432,277,708,1.20E-82,390,3194,387,1.01,82,0.366311835,36.41
BBa_K737016,P0A3G1,136,342,7.36E-43,72,219,72,1,43,0.98630137,100
BBa_K737066,P42212,487,1254,1.14E-176,236,717,238,0.99,176,0.987447699,99.153
BBa_K771102,Q3YY32,554,1427,0,291,921,291,1,180,0.947882736,99.656
BBa_K771103,Q61234,193,491,1.53E-59,95,363,503,0.79,59,0.785123967,100
BBa_K771105,Q95107,166,420,1.25E-49,76,285,505,0.8,49,0.8,100
BBa_K771107,Q63768,118,295,3.85E-33,55,219,304,0.75,33,0.753424658,100
BBa_K771109,Q01371,144,364,3.26E-39,147,528,1167,0.84,39,0.835227273,42.177
BBa_K771111,P03630,221,563,8.92E-75,127,416,127,1,75,0.915865385,89.764
BBa_K771301,P0ADA1,412,1060,6.31E-148,202,648,208,0.97,148,0.935185185,100
BBa_K771303,P0AEK6,538,1385,0,262,810,262,1,180,0.97037037,100
BBa_K777121,P37646,525,1353,0,255,768,255,1,180,0.99609375,100
BBa_K778001,P19323,1385,3585,0,692,2121,692,1,180,0.978783593,99.855
BBa_K778002,P19323,1383,3579,0,692,2121,692,1,180,0.978783593,99.711
BBa_K782004,P14727,1363,3529,0,797,2477,1164,0.97,180,0.965280581,90.213
BBa_K782005,P14727,1283,3319,0,797,2375,1164,1.01,180,1.006736842,86.198
BBa_K782006,P14727,1357,3511,0,797,2477,1164,0.97,180,0.965280581,90.088
BBa_K782007,P14727,1098,2841,0,643,2171,1164,0.89,180,0.888530631,91.291
BBa_K782008,P14727,1367,3537,0,797,2861,1164,0.84,180,0.835721776,90.213
BBa_K782008,P21506,210,534,5.71E-57,100,2861,573,0.17,57,0.104858441,99
BBa_K782009,P14727,1287,3330,0,797,2759,1164,0.87,180,0.86661834,86.198
BBa_K782009,P21506,209,533,5.38E-57,100,2759,573,0.17,57,0.108735049,99
BBa_K782010,P14727,1358,3516,0,797,2861,1164,0.84,180,0.835721776,90.088
BBa_K782010,P21506,210,534,4.75E-57,100,2861,573,0.17,57,0.104858441,99
BBa_K782011,P14727,1102,2849,0,643,2555,1164,0.75,180,0.754990215,91.291
BBa_K782011,P21506,211,536,1.30E-57,100,2555,573,0.17,57,0.11741683,99
BBa_K801039,P04386,213,542,3.18E-62,118,804,881,0.44,62,0.440298507,97.458
BBa_K801039,O80536,189,480,2.16E-55,100,804,524,0.37,55,0.373134328,99
BBa_K801040,P14713,1857,4810,0,889,3294,1172,0.81,180,0.809653916,100
BBa_K801060,Q8L5K3,1118,2892,0,554,1708,606,0.97,180,0.973067916,99.819
BBa_K801061,Q8L5K3,1120,2898,0,554,1665,606,1,180,0.998198198,100
BBa_K801070,Q9AVK0,762,1968,0,372,1158,372,1,180,0.96373057,99.731
BBa_K801071,Q9AVJ9,777,2007,0,378,1176,378,1,180,0.964285714,99.735
BBa_K801072,Q8H0D2,752,1942,0,384,1194,384,1,180,0.964824121,98.438
BBa_K805010,P00694,413,1061,5.43E-148,203,610,228,1,148,0.998360656,97.537
BBa_K805011,P07982,452,1163,4.36E-157,422,1233,418,1.03,157,1.02676399,60.19
BBa_K805012,P49943,443,1140,3.13E-156,329,996,325,1.01,156,0.990963855,66.261
BBa_K808014,F9US27,466,1200,3.95E-160,477,1506,490,0.97,160,0.950199203,54.088
BBa_K808027,Q6B6R8,908,2346,0,469,1440,646,0.98,180,0.977083333,98.507
BBa_K809605,P03705,211,538,8.44E-72,105,318,107,0.99,72,0.990566038,100
BBa_K817000,P01273,69.7,169,8.44E-16,31,162,180,0.57,16,0.574074074,100
BBa_K822002,P02978,820,2119,0,522,2050,522,1,180,0.763902439,99.808
BBa_K822002,P02985,189,481,3.25E-56,113,2050,113,1,56,0.165365854,100
BBa_K823043,P9WGH3,117,293,6.57E-31,186,612,290,0.91,31,0.911764706,30.645
BBa_K838000,Q2QYY8,281,719,4.04E-87,154,853,921,0.54,87,0.541617819,87.662
BBa_K838000,Q3YU01,152,384,1.36E-45,87,853,108,0.81,45,0.305978898,100
BBa_K847060,Q3Z2S4,891,2303,0,474,1425,474,1,180,0.997894737,100
BBa_K847061,P31678,548,1412,0,266,801,266,1,180,0.996254682,100
BBa_K861031,P77399,1348,3490,0,714,2145,714,1,180,0.998601399,100
BBa_K861032,Q9L6L5,1450,3753,0,729,2190,729,1,180,0.998630137,100
BBa_K861042,P0A2H7,767,1981,0,387,1164,387,1,180,0.99742268,100
BBa_K861100,P37653,1774,4596,0,872,2619,872,1,180,0.998854525,100
BBa_K861140,P0AEP6,617,1592,0,302,909,302,1,180,0.99669967,100
BBa_K861160,P0ACK1,436,1121,2.73E-157,210,633,210,1,157,0.995260664,100
BBa_K863000,P07788,733,1892,0,514,1587,513,1,180,0.971644612,68.482
BBa_K863001,P07788,733,1891,0,514,1533,513,1.01,180,1.005870841,68.482
BBa_K863005,P36649,959,2480,0,516,1605,516,1,180,0.964485981,99.806
BBa_K863006,P36649,959,2480,0,516,1551,516,1,180,0.998065764,99.806
BBa_K863011,Q4LAB0,209,533,2.06E-61,457,1389,447,1.02,61,0.987041037,33.042
BBa_K863021,I6WZK7,185,469,3.08E-51,503,1503,504,1,51,1.003992016,28.827
BBa_K864100,P42212,471,1213,2.74E-170,238,723,238,1,170,0.987551867,95.378
BBa_K864680,Q932I8,1297,3356,0,639,1923,639,1,180,0.996879875,100
BBa_K875009,Q1KLX1,75.5,184,2.69E-18,37,123,170,0.9,18,0.902439024,100
BBa_K892008,P0AFH8,393,1010,1.13E-140,201,606,201,1,140,0.995049505,100
BBa_K895002,E0SAL0,268,685,5.10E-79,613,2193,617,0.99,79,0.838577291,29.364
BBa_K895004,Q9I747,112,280,1.08E-28,160,1089,162,0.99,28,0.44077135,43.75
BBa_K895004,P18020,65.1,157,1.70E-10,182,1089,342,0.53,10,0.50137741,29.67
BBa_K896000,O67931,283,723,3.28E-90,406,1281,430,0.95,90,0.950819672,38.67
BBa_K896001,Q73YC1,182,461,3.36E-49,493,1659,555,0.89,49,0.891500904,28.195
BBa_K896010,P30331,93.6,231,1.91E-26,45,171,56,0.8,26,0.789473684,100
BBa_K902000,P05804,1264,3272,0,603,1812,603,1,180,0.998344371,100
BBa_K902035,P22984,613,1580,0,321,1565,521,0.62,180,0.615335463,97.508
BBa_K902035,P20771,352,902,3.47E-119,197,1565,199,0.99,119,0.377635783,95.431
BBa_K902057,Q57501,354,909,3.26E-126,170,513,170,1,126,0.994152047,100
BBa_C0012,P03023,730,1885,0,360,1153,360,1,180,0.936686904,99.722
BBa_C0024,P07330,683,1762,0,349,1078,349,1,180,0.971243043,100
BBa_C0040,P04483,426,1096,2.81E-153,207,685,207,1,153,0.906569343,100
BBa_C0050,P18680,489,1260,2.70E-177,235,769,235,1,177,0.916775033,100
BBa_C0051,P03034,462,1188,2.61E-166,237,775,237,1,166,0.917419355,100
BBa_C0052,P69202,203,517,4.97E-65,207,694,216,0.96,65,0.89481268,51.208
BBa_C0053,P69202,412,1060,1.96E-147,216,712,216,1,147,0.91011236,100
BBa_C0056,P16117,194,493,2.82E-63,95,636,95,1,63,0.448113208,100
BBa_C0060,Q9L8R8,512,1318,0,250,814,250,1,180,0.921375921,100
BBa_C0061,P12747,402,1032,7.13E-144,193,643,193,1,144,0.900466563,100
BBa_C0062,P12746,515,1326,0,250,781,250,1,180,0.960307298,100
BBa_C0070,P54291,391,1005,1.36E-139,201,667,201,1,139,0.904047976,100
BBa_C0071,P54292,481,1239,6.73E-174,229,787,241,0.95,174,0.872935197,100
BBa_C0072,P03049,172,435,1.81E-56,83,313,83,1,56,0.795527157,100
BBa_C0073,P03049,171,432,5.60E-56,83,313,83,1,56,0.795527157,98.795
BBa_C0074,P06555,260,665,3.69E-90,128,448,128,1,90,0.857142857,100
BBa_C0076,O54451,100,248,1.32E-24,216,727,212,1.02,24,0.89133425,36.111
BBa_C0077,O87971,90.5,223,1.38E-20,207,787,229,0.9,20,0.789072427,29.469
BBa_C0078,P33883,417,1071,1.41E-149,201,667,201,1,149,0.904047976,99.502
BBa_C0079,P25084,495,1274,2.28E-179,239,781,239,1,179,0.918053777,99.582
BBa_C0080,P0A9E0,583,1504,0,292,940,292,1,180,0.931914894,100
BBa_C0082,P0AEJ5,462,1190,3.53E-159,266,1516,450,0.59,159,0.526385224,88.722
BBa_C0083,P0AC40,931,2407,0,478,1543,478,1,180,0.929358393,100
BBa_C0160,Q9L8R8,512,1318,0,250,756,250,1,180,0.992063492,100
BBa_C0161,P12747,402,1032,3.29E-144,193,585,193,1,144,0.98974359,100
BBa_C0170,P54291,391,1005,6.31E-140,201,609,201,1,140,0.990147783,100
BBa_C0171,P54292,489,1258,3.95E-177,241,729,241,1,177,0.991769547,100
BBa_C0178,P33883,417,1071,6.48E-150,201,609,201,1,150,0.990147783,99.502
BBa_C0179,P25084,495,1274,1.06E-179,239,723,239,1,179,0.991701245,99.582
BBa_C0600,P07017,925,2390,0,553,1662,553,1,180,0.998194946,100
BBa_C2001,O73692,120,302,1.10E-34,67,325,194,0.62,34,0.618461538,83.582
